"NTEE","NTEE2","level1","level2","level3","level4","level5","level1.label","level2.label","level3.label","level4.label","level5.label","keywords"
"A01","ART-A00-AA","ART","Axx","A0x","A00","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Alliance/Advocacy Organization","Arts Alliances, Arts Coalitions, Lobbying, Public Awareness"
"A0120","ART-A20-AA","ART","Axx","A2x","A20","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Organizations that promote, produce or provide access to a variety of arts experiences encompassing the visual, media or performing arts.","Alliance/Advocacy Organization",NA
"A0123","ART-A23-AA","ART","Axx","A2x","A23","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Organizations that promote artistic expression within a particular ethnic community; work for the preservation and promotion of the traditions, values and lifestyles of different cultural groups; organize activities and events which promote cultural exchange locally or nationally; and encourage understanding and respect for different cultural heritages among the youthful members of the group as well as the mainstream population.","Alliance/Advocacy Organization",NA
"A0125","ART-A25-AA","ART","Axx","A2x","A25","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Organizations that provide informal arts educational programming and/or instruction but do not grant diplomas or degrees; or which offer services regarding the arts to educational institutions or to public entities involved in education.","Alliance/Advocacy Organization",NA
"A0126","ART-A26-AA","ART","Axx","A2x","A26","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Organizations that foster, nurture and sustain artistic excellence and create a climate in which the arts and humanities may flourish in a community.","Alliance/Advocacy Organization",NA
"A0130","ART-A30-AA","ART","Axx","A3x","A30","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Organizations that are involved in publishing, productions or programming utilizing any of a variety of media or in educational programs related to the media. Use this code for organizations involved in productions in different types of media or for those using types of media not specified below.","Alliance/Advocacy Organization",NA
"A0131","ART-A31-AA","ART","Axx","A3x","A31","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Organizations that produce films, videos and holographic images for a variety of educational, documentary and cultural purposes, and/or promote public appreciation of film and video. Also included are organizations that encourage new, foreign and independent filmmakers through the organization and presentation of film expositions and festivals or which show old or difficult to obtain films in noncommercial facilities.","Alliance/Advocacy Organization",NA
"A0132","ART-A32-AA","ART","Axx","A3x","A32","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Organizations engaged in television productions and broadcast. Includes producers of public television, cable television, community access television, broadcasting in schools, and interactive television.","Alliance/Advocacy Organization",NA
"A0133","ART-A33-AA","ART","Axx","A3x","A33","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Organizations that publish a variety of materials on diverse topics. Includes university presses.","Alliance/Advocacy Organization",NA
"A0140","ART-A40-AA","ART","Axx","A4x","A40","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Organizations whose activities promote or provide access to a variety of visual arts. Included are organizations that focus on an art form in a specific medium such as stained glass or textiles.","Alliance/Advocacy Organization",NA
"A0157","ART-A57-AA","ART","Axx","A5x","A57","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Organizations that develop and maintain educational exhibits which illustrate principles from mathematics and the physical sciences.","Alliance/Advocacy Organization",NA
"A0160","ART-A60-AA","ART","Axx","A6x","A60","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Organizations that provide access to the performing arts or a variety of art forms including the performing arts, and/or which present performing arts series. Use this code for organizations devoted to art forms not specified below.","Alliance/Advocacy Organization",NA
"A0161","ART-A61-AA","ART","Axx","A6x","A61","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Organizations that operate facilities including theaters for the performing arts.","Alliance/Advocacy Organization",NA
"A0162","ART-A62-AA","ART","Axx","A6x","A62","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Organizations that create and/or perform a variety of types of dance, including modern, folk, country and western, and square dancing.","Alliance/Advocacy Organization",NA
"A0165","ART-A65-AA","ART","Axx","A6x","A65","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Organizations whose primary activity is the production of plays. (Organizations that present the productions of others should be classified as presenters. (A61)","Alliance/Advocacy Organization",NA
"A0168","ART-A68-AA","ART","Axx","A6x","A68","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Organizations whose primary activity is the production of musical events, including concert series and music festivals.","Alliance/Advocacy Organization",NA
"A016B","ART-A6B-AA","ART","Axx","A6x","A6B","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Organizations whose primary activity is the production of concerts including barbershop singing groups, glee clubs/choir groups, childrens choirs and other singing ensembles.","Alliance/Advocacy Organization",NA
"A016C","ART-A6C-AA","ART","Axx","A6x","A6C","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Organizations that produce music not specifically covered by another category including marching bands, jazz groups, chamber music groups, blues, country music, ethnic music (e.g., Brazilian, Celtic, Afro-pop, etc.), folk music, rhythm and blues.","Alliance/Advocacy Organization",NA
"A016E","ART-A6E-AA","ART","Axx","A6x","A6E","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Organizations that offer classes in the performing arts but do not confer academic degrees.","Alliance/Advocacy Organization",NA
"A0170","ART-A70-AA","ART","Axx","A7x","A70","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Organizations that promote the study, teaching, or appreciation of the humanities (archaeology, art history, history, modern and classical languages, philosophy and ethics, and theology and comparative religion).","Alliance/Advocacy Organization",NA
"A0180","ART-A80-AA","ART","Axx","A8x","A80","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Organizations that promote awareness of and appreciation for history and historical artifacts. Use this code for organizations that are not specified below.","Alliance/Advocacy Organization",NA
"A0184","ART-A84-AA","ART","Axx","A8x","A84","AA","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliance/Advocacy Organization for a nonprofit in arts, culture & humanities.","Organizations that sponsor activities which celebrate, memorialize and sometimes recreate important events in history such as battles, treaties, speeches, centennials, independence days, catastrophes that had an important impact or other similar occasions.","Alliance/Advocacy Organization",NA
"A02","ART-A00-MT","ART","Axx","A0x","A00","MT","Arts, Culture & Humanities","Arts, Culture & Humanities","Organization providing management and technical assistance for a nonprofit in arts, culture & humanities.","Organization providing management and technical assistance for a nonprofit in arts, culture & humanities.","Management and Technical Assistance","Professional Continuing Education"
