"Key","LastModified","ETag","Size","StorageClass","Bucket","URL"
"public/","2025-03-20T08:52:50.000Z","""d41d8cd98f00b204e9800998ecf8427e""",0,"STANDARD","nccs-efile","https://nccs-efile.s3.us-east-1.amazonaws.com/public/"
"public/efile_v2_0/","2025-03-22T01:46:08.000Z","""d41d8cd98f00b204e9800998ecf8427e""",0,"STANDARD","nccs-efile","https://nccs-efile.s3.us-east-1.amazonaws.com/public/efile_v2_0/"
"public/efile_v2_0/COUNT-OF-ROWS-BY-TABLE-AND-FORMTYPE.CSV","2025-03-28T04:58:50.000Z","""92185413d7ea6e6e6eea828b3c3fe65b""",125496,"STANDARD","nccs-efile","https://nccs-efile.s3.us-east-1.amazonaws.com/public/efile_v2_0/COUNT-OF-ROWS-BY-TABLE-AND-FORMTYPE.CSV"
"public/efile_v2_0/F9-P00-T00-HEADER-2009.CSV","2025-03-28T04:58:50.000Z","""f2080aeac7861da149061b1db20bf42c-4""",28915540,"STANDARD","nccs-efile","https://nccs-efile.s3.us-east-1.amazonaws.com/public/efile_v2_0/F9-P00-T00-HEADER-2009.CSV"
"public/efile_v2_0/F9-P00-T00-HEADER-2010.CSV","2025-03-28T04:58:50.000Z","""4adfbf392d06ff6fb53da167241ab8a6-14""",109901176,"STANDARD","nccs-efile","https://nccs-efile.s3.us-east-1.amazonaws.com/public/efile_v2_0/F9-P00-T00-HEADER-2010.CSV"
"public/efile_v2_0/F9-P00-T00-HEADER-2011.CSV","2025-03-28T04:59:16.000Z","""7f8faff92e8eb33c4b5d58e2ec1b7a67-17""",142202157,"STANDARD","nccs-efile","https://nccs-efile.s3.us-east-1.amazonaws.com/public/efile_v2_0/F9-P00-T00-HEADER-2011.CSV"
"public/efile_v2_0/F9-P00-T00-HEADER-2012.CSV","2025-03-28T04:59:42.000Z","""50ec1742cfe5826ffc46b772587c1dad-20""",160846208,"STANDARD","nccs-efile","https://nccs-efile.s3.us-east-1.amazonaws.com/public/efile_v2_0/F9-P00-T00-HEADER-2012.CSV"
"public/efile_v2_0/F9-P00-T00-HEADER-2013.CSV","2025-03-28T05:00:09.000Z","""8c4b0ca7b1a18416b1766462bde652f9-22""",178136934,"STANDARD","nccs-efile","https://nccs-efile.s3.us-east-1.amazonaws.com/public/efile_v2_0/F9-P00-T00-HEADER-2013.CSV"
"public/efile_v2_0/F9-P00-T00-HEADER-2014.CSV","2025-03-28T05:00:46.000Z","""7408e4f9841aaf3a1c11808ac9767b2e-24""",196687306,"STANDARD","nccs-efile","https://nccs-efile.s3.us-east-1.amazonaws.com/public/efile_v2_0/F9-P00-T00-HEADER-2014.CSV"
"public/efile_v2_0/F9-P00-T00-HEADER-2015.CSV","2025-03-28T05:01:24.000Z","""487059b932dec629e4fb9506f4ffcf94-25""",209258898,"STANDARD","nccs-efile","https://nccs-efile.s3.us-east-1.amazonaws.com/public/efile_v2_0/F9-P00-T00-HEADER-2015.CSV"
