"Level 1","Levels 2-4","Level 5","Category Name","Category Description"
"ART","A","Major Group","Arts, Culture & Humanities","Private nonprofit organizations whose primary purpose is to promote appreciation for and enjoyment and understanding of the visual, performing, folk, and media arts; the humanities (archaeology, art history, modern and classical languages, philosophy, ethics, theology, and comparative religion); history and historical events; and/or communications (film, video, publishing, journalism, radio, television)."
"ART","A00","AA","Alliances & Advocacy  (formerly A01)","Organizations whose activities focus on influencing public policy within the Arts, Culture, and Humanities major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"ART","A00","MT","Management & Technical Assistance  (formerly A02)","Consultation, training, and other forms of management assistance services to nonprofit groups within the Arts, Culture, and Humanities major group area."
"ART","A00","PA","Professional Societies & Associations  (formerly A03)","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Arts, Culture, and Humanities major group area."
"ART","A00","RP","Research Institutes & Public Policy Analysis  (formerly A05)","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Arts, Culture, and Humanities major group area"
"ART","A00","MS","Single Organization Support  (formerly A11)","Organizations existing as a support and fund-raising entity for a single institution within the Arts, Culture & Humanities major group."
"ART","A00","MM","Fund Raising & Fund Distribution  (formerly A12)","Organizations that raise and distribute funds for multiple organizations within the Arts, Culture, and Humanities major group area."
"ART","A00","NS","Support N.E.C.  (formerly A19)","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Arts, Culture, and Humanities major group area."
"ART","A20","RG","Arts & Culture","Organizations that promote, produce or provide access to a variety of arts experiences encompassing the visual, media or performing arts."
"ART","A23","RG","Cultural & Ethnic Awareness","Organizations that promote artistic expression within a particular ethnic community; work for the preservation and promotion of the traditions, values and lifestyles of different cultural groups; organize activities and events which promote cultural exchange locally or nationally; and encourage understanding and respect for different cultural heritages among the youthful members of the group as well as the mainstream population."
"ART","A24","RG","Folk Arts","Organizations that produce, promote and disseminate information on traditional music, dance, theater or folklore of various cultures and organizations that perform, present and support folk art in a specific region."
"ART","A25","RG","Arts Education","Organizations that provide informal arts educational programming and/or instruction but do not grant diplomas or degrees; or which offer services regarding the arts to educational institutions or to public entities involved in education."
"ART","A26","RG","Arts & Humanities Councils & Agencies","Organizations that foster, nurture and sustain artistic excellence and create a climate in which the arts and humanities may flourish in a community."
